itemLabel,occupationLabel,genderLabel,bdayLabel,countryofcitizenshipLabel,positionheldLabel,educatedatLabel,memberofpoliticalpartyLabel,religionLabel,militaryrankLabel
Muhammadu Buhari,military personnel,male,1935-12-17T00:00:00Z,Nigeria,President of Nigeria,United States Army War College,All Progressives Congress,Islam,major general
Muhammadu Buhari,politician,male,1935-12-17T00:00:00Z,Nigeria,President of Nigeria,United States Army War College,All Progressives Congress,Islam,major general
Muhammadu Buhari,military personnel,male,1935-12-17T00:00:00Z,Nigeria,Governor of Borno State,United States Army War College,All Progressives Congress,Islam,major general
Muhammadu Buhari,politician,male,1935-12-17T00:00:00Z,Nigeria,Governor of Borno State,United States Army War College,All Progressives Congress,Islam,major general
Muhammadu Buhari,military personnel,male,1935-12-17T00:00:00Z,Nigeria,President of Nigeria,military education and training,All Progressives Congress,Islam,major general
Muhammadu Buhari,politician,male,1935-12-17T00:00:00Z,Nigeria,President of Nigeria,military education and training,All Progressives Congress,Islam,major general
Muhammadu Buhari,military personnel,male,1935-12-17T00:00:00Z,Nigeria,Governor of Borno State,military education and training,All Progressives Congress,Islam,major general
Muhammadu Buhari,politician,male,1935-12-17T00:00:00Z,Nigeria,Governor of Borno State,military education and training,All Progressives Congress,Islam,major general
Muhammadu Buhari,military personnel,male,1935-12-17T00:00:00Z,Nigeria,President of Nigeria,Nigerian Defence Academy,All Progressives Congress,Islam,major general
Muhammadu Buhari,politician,male,1935-12-17T00:00:00Z,Nigeria,President of Nigeria,Nigerian Defence Academy,All Progressives Congress,Islam,major general
Muhammadu Buhari,military personnel,male,1935-12-17T00:00:00Z,Nigeria,Governor of Borno State,Nigerian Defence Academy,All Progressives Congress,Islam,major general
Muhammadu Buhari,politician,male,1935-12-17T00:00:00Z,Nigeria,Governor of Borno State,Nigerian Defence Academy,All Progressives Congress,Islam,major general
